               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 115,              0.0308,            0.012195,            0.003452,             0.95445,             0.88953,             0.91871,             0.48274,            0.031205,            0.011172,           0.0020094,            0.004357,            0.004357,            0.004357
                 116,            0.033432,            0.012112,           0.0034406,             0.94691,             0.89431,             0.92393,             0.47899,            0.032164,            0.010899,           0.0017449,           0.0043075,           0.0043075,           0.0043075
                 117,            0.031263,            0.013004,           0.0025997,             0.94115,             0.88791,             0.91384,             0.47941,            0.031912,            0.010935,           0.0016336,            0.004258,            0.004258,            0.004258
                 118,            0.031164,            0.012577,              0.0019,             0.95159,             0.89902,             0.92411,              0.4871,            0.032415,            0.010892,           0.0016013,           0.0042085,           0.0042085,           0.0042085
                 119,            0.031974,            0.012301,           0.0030814,             0.94552,             0.89508,             0.92858,             0.48155,            0.033043,            0.010749,           0.0018209,            0.004159,            0.004159,            0.004159
                 120,              0.0322,             0.01252,           0.0024954,             0.94549,             0.89695,             0.92945,             0.48112,            0.032004,            0.010759,           0.0017604,           0.0041095,           0.0041095,           0.0041095
                 121,            0.032689,            0.012515,           0.0024772,             0.92746,             0.90482,             0.92181,             0.46705,            0.033309,            0.010742,           0.0018271,             0.00406,             0.00406,             0.00406
                 122,            0.031042,            0.012263,           0.0024105,             0.90678,             0.91824,             0.92126,             0.47638,            0.031811,            0.010795,           0.0016544,           0.0040105,           0.0040105,           0.0040105
                 123,            0.030056,            0.011867,           0.0016934,             0.93566,             0.90844,             0.92578,             0.47992,            0.030113,            0.010812,           0.0015841,            0.003961,            0.003961,            0.003961
                 124,            0.031337,            0.012378,           0.0016855,             0.92614,             0.91704,             0.92424,             0.48132,            0.031735,            0.010905,           0.0015645,           0.0039115,           0.0039115,           0.0039115
                 125,            0.030586,            0.012265,           0.0022778,             0.92869,             0.91086,             0.92176,             0.46604,            0.036067,            0.011071,           0.0017435,            0.003862,            0.003862,            0.003862
                 126,            0.029562,            0.011666,           0.0029552,             0.93692,             0.88408,             0.91385,             0.46559,            0.035021,            0.011109,           0.0019028,           0.0038125,           0.0038125,           0.0038125
                 127,            0.030941,            0.012084,           0.0023698,             0.93084,             0.91374,             0.91951,             0.46702,            0.033034,             0.01112,            0.001982,            0.003763,            0.003763,            0.003763
                 128,            0.030594,            0.011892,           0.0019359,             0.94161,              0.8957,              0.9196,             0.48381,            0.033569,            0.010975,           0.0019585,           0.0037135,           0.0037135,           0.0037135
                 129,            0.030254,            0.011941,           0.0018155,             0.94748,             0.88976,             0.92355,             0.48942,            0.033121,            0.010849,            0.001792,            0.003664,            0.003664,            0.003664
                 130,            0.029412,            0.011917,           0.0023229,             0.95717,             0.89108,             0.92861,             0.48188,            0.033254,            0.010749,           0.0018485,           0.0036145,           0.0036145,           0.0036145
                 131,            0.030586,            0.012737,           0.0025611,             0.95307,             0.89288,              0.9215,             0.48005,            0.032288,            0.010741,           0.0017883,            0.003565,            0.003565,            0.003565
                 132,            0.032162,            0.012153,           0.0018859,             0.94812,             0.89832,             0.92438,              0.4725,            0.032285,            0.010939,           0.0018382,           0.0035155,           0.0035155,           0.0035155
                 133,            0.028694,            0.012519,           0.0022756,             0.95906,             0.90032,             0.92149,             0.47989,             0.03419,            0.011095,           0.0017059,            0.003466,            0.003466,            0.003466
                 134,             0.03013,            0.011965,            0.001421,             0.93261,             0.89892,               0.917,             0.48399,            0.032579,            0.011269,            0.001932,           0.0034165,           0.0034165,           0.0034165
                 135,              0.0296,            0.011918,           0.0016763,             0.96475,             0.89547,             0.92532,             0.47835,            0.033005,            0.011027,           0.0018213,            0.003367,            0.003367,            0.003367
                 136,            0.032127,            0.011801,           0.0032827,             0.94148,             0.90959,             0.92526,             0.49025,            0.033444,            0.010965,           0.0018607,           0.0033175,           0.0033175,           0.0033175
                 137,            0.031175,            0.011811,           0.0024348,             0.95681,             0.90488,             0.92171,             0.48341,            0.032819,            0.010881,           0.0019024,            0.003268,            0.003268,            0.003268
                 138,            0.030246,            0.012037,            0.002316,             0.95242,             0.90684,             0.92593,              0.4875,            0.032614,            0.011008,           0.0019025,           0.0032185,           0.0032185,           0.0032185
                 139,             0.03115,            0.011546,           0.0022926,             0.94164,             0.88922,             0.92144,             0.47814,            0.033285,            0.010924,           0.0019408,            0.003169,            0.003169,            0.003169
                 140,            0.028881,            0.011712,           0.0018514,             0.93942,             0.91147,               0.926,             0.48103,            0.033327,            0.011014,            0.001879,           0.0031195,           0.0031195,           0.0031195
                 141,            0.030576,            0.012144,           0.0023112,             0.95944,             0.91181,             0.92995,             0.48554,            0.033891,            0.011203,           0.0018132,             0.00307,             0.00307,             0.00307
                 142,            0.028898,            0.011905,           0.0022144,             0.96369,             0.89971,             0.92633,             0.49194,            0.032833,            0.011016,           0.0019924,           0.0030205,           0.0030205,           0.0030205
                 143,            0.029271,            0.011617,           0.0022164,             0.95803,              0.9063,             0.92481,              0.4884,             0.03353,            0.010861,           0.0018883,            0.002971,            0.002971,            0.002971
                 144,            0.029092,            0.012109,           0.0019373,             0.93727,             0.91245,             0.92143,             0.48049,            0.031965,            0.011105,           0.0017377,           0.0029215,           0.0029215,           0.0029215
                 145,            0.030199,            0.011474,           0.0028209,             0.94149,             0.90959,             0.92329,             0.47223,            0.036181,            0.010972,            0.001703,            0.002872,            0.002872,            0.002872
                 146,            0.029168,            0.011659,           0.0029456,             0.94869,             0.91768,             0.93417,             0.48388,            0.033346,            0.010838,           0.0016055,           0.0028225,           0.0028225,           0.0028225
                 147,            0.027923,            0.012047,           0.0020175,             0.94674,             0.91754,              0.9335,             0.48552,            0.032474,            0.010872,           0.0016702,            0.002773,            0.002773,            0.002773
                 148,            0.029612,            0.011733,           0.0017391,             0.95794,             0.90105,             0.92814,             0.48273,            0.032287,            0.011074,           0.0017333,           0.0027235,           0.0027235,           0.0027235
                 149,            0.029962,            0.012045,           0.0023069,             0.95821,             0.89889,             0.92747,             0.48771,            0.033464,            0.010996,           0.0017379,            0.002674,            0.002674,            0.002674
                 150,            0.028607,            0.011852,           0.0021984,             0.94631,             0.91137,             0.92805,             0.48144,            0.032517,            0.011009,           0.0016884,           0.0026245,           0.0026245,           0.0026245
                 151,              0.0263,            0.011558,           0.0019697,             0.95035,             0.91387,             0.92679,             0.48761,            0.031908,            0.010966,           0.0016737,            0.002575,            0.002575,            0.002575
